analytic_random_trajectory_burden,observed_learned_trajectory_burden,oracle_bad_row_trajectory_burden,policy_id,row_budget,split_seed
0.4920995043792423,0.24043715846994534,0.15846994535519127,next_step_bad::hist_gradient_boosting::all_plus_interactions,0.02,20250620
0.7865613947472202,0.5355191256830601,0.3989071038251366,next_step_bad::hist_gradient_boosting::all_plus_interactions,0.05,20250620
0.9358169932208884,0.7704918032786885,0.3989071038251366,next_step_bad::hist_gradient_boosting::all_plus_interactions,0.1,20250620
0.9898658534055819,0.9453551912568307,0.3989071038251366,next_step_bad::hist_gradient_boosting::all_plus_interactions,0.2,20250620
0.2967675920116267,0.1092896174863388,0.09289617486338798,next_step_bad::random_forest::all_structured,0.01,20250620
0.4920995043792423,0.1912568306010929,0.15846994535519127,next_step_bad::random_forest::all_structured,0.02,20250620
0.7865613947472202,0.5027322404371585,0.3989071038251366,next_step_bad::random_forest::all_structured,0.05,20250620
0.9358169932208884,0.73224043715847,0.3989071038251366,next_step_bad::random_forest::all_structured,0.1,20250620
0.9898658534055819,0.8907103825136612,0.3989071038251366,next_step_bad::random_forest::all_structured,0.2,20250620
0.2977031462172747,0.02185792349726776,0.11475409836065574,next_step_bad::logistic_regression::prefix_position_only,0.01,20250621
0.49512145609864683,0.0546448087431694,0.20218579234972678,next_step_bad::logistic_regression::prefix_position_only,0.02,20250621
0.7943121514845859,0.1366120218579235,0.3989071038251366,next_step_bad::logistic_regression::prefix_position_only,0.05,20250621
0.9439282518551427,0.25136612021857924,0.3989071038251366,next_step_bad::logistic_regression::prefix_position_only,0.1,20250621
0.9926856034581955,0.4918032786885246,0.3989071038251366,next_step_bad::logistic_regression::prefix_position_only,0.2,20250621
0.2977031462172747,0.13114754098360656,0.11475409836065574,next_step_bad::logistic_regression::non_position_history_only,0.01,20250621
0.49512145609864683,0.16393442622950818,0.20218579234972678,next_step_bad::logistic_regression::non_position_history_only,0.02,20250621
0.7943121514845859,0.4808743169398907,0.3989071038251366,next_step_bad::logistic_regression::non_position_history_only,0.05,20250621
0.9439282518551427,0.644808743169399,0.3989071038251366,next_step_bad::logistic_regression::non_position_history_only,0.1,20250621
0.9926856034581955,0.9344262295081968,0.3989071038251366,next_step_bad::logistic_regression::non_position_history_only,0.2,20250621
0.2977031462172747,0.09289617486338798,0.11475409836065574,next_step_bad::logistic_regression::all_structured,0.01,20250621
0.49512145609864683,0.14754098360655737,0.20218579234972678,next_step_bad::logistic_regression::all_structured,0.02,20250621
0.7943121514845859,0.39344262295081966,0.3989071038251366,next_step_bad::logistic_regression::all_structured,0.05,20250621
0.9439282518551427,0.5245901639344263,0.3989071038251366,next_step_bad::logistic_regression::all_structured,0.1,20250621
0.9926856034581955,0.8142076502732241,0.3989071038251366,next_step_bad::logistic_regression::all_structured,0.2,20250621
0.2977031462172747,0.11475409836065574,0.11475409836065574,next_step_bad::gradient_boosting::all_structured,0.01,20250621
0.49512145609864683,0.15300546448087432,0.20218579234972678,next_step_bad::gradient_boosting::all_structured,0.02,20250621
0.7943121514845859,0.4808743169398907,0.3989071038251366,next_step_bad::gradient_boosting::all_structured,0.05,20250621
0.9439282518551427,0.7158469945355191,0.3989071038251366,next_step_bad::gradient_boosting::all_structured,0.1,20250621
0.9926856034581955,0.9508196721311475,0.3989071038251366,next_step_bad::gradient_boosting::all_structured,0.2,20250621
0.2977031462172747,0.10382513661202186,0.11475409836065574,next_step_bad::hist_gradient_boosting::all_plus_interactions,0.01,20250621
0.49512145609864683,0.18579234972677597,0.20218579234972678,next_step_bad::hist_gradient_boosting::all_plus_interactions,0.02,20250621
0.7943121514845859,0.4371584699453552,0.3989071038251366,next_step_bad::hist_gradient_boosting::all_plus_interactions,0.05,20250621
0.9439282518551427,0.8032786885245902,0.3989071038251366,next_step_bad::hist_gradient_boosting::all_plus_interactions,0.1,20250621
0.9926856034581955,0.9289617486338798,0.3989071038251366,next_step_bad::hist_gradient_boosting::all_plus_interactions,0.2,20250621
0.2977031462172747,0.06557377049180328,0.11475409836065574,next_step_bad::random_forest::all_structured,0.01,20250621
0.49512145609864683,0.2185792349726776,0.20218579234972678,next_step_bad::random_forest::all_structured,0.02,20250621
0.7943121514845859,0.4371584699453552,0.3989071038251366,next_step_bad::random_forest::all_structured,0.05,20250621
0.9439282518551427,0.7868852459016393,0.3989071038251366,next_step_bad::random_forest::all_structured,0.1,20250621
0.9926856034581955,0.9617486338797814,0.3989071038251366,next_step_bad::random_forest::all_structured,0.2,20250621
0.2967424032784661,0.00546448087431694,0.07103825136612021,next_step_bad::logistic_regression::prefix_position_only,0.01,20250622
0.4945009020576316,0.03278688524590164,0.15300546448087432,next_step_bad::logistic_regression::prefix_position_only,0.02,20250622
0.7947688452216398,0.1092896174863388,0.3989071038251366,next_step_bad::logistic_regression::prefix_position_only,0.05,20250622
0.944985112335306,0.2185792349726776,0.3989071038251366,next_step_bad::logistic_regression::prefix_position_only,0.1,20250622
0.9937763192121656,0.44808743169398907,0.3989071038251366,next_step_bad::logistic_regression::prefix_position_only,0.2,20250622
0.2967424032784661,0.12568306010928962,0.07103825136612021,next_step_bad::logistic_regression::non_position_history_only,0.01,20250622
0.4945009020576316,0.18032786885245902,0.15300546448087432,next_step_bad::logistic_regression::non_position_history_only,0.02,20250622
0.7947688452216398,0.47540983606557374,0.3989071038251366,next_step_bad::logistic_regression::non_position_history_only,0.05,20250622
0.944985112335306,0.6721311475409836,0.3989071038251366,next_step_bad::logistic_regression::non_position_history_only,0.1,20250622
0.9937763192121656,0.9617486338797814,0.3989071038251366,next_step_bad::logistic_regression::non_position_history_only,0.2,20250622
0.2967424032784661,0.08743169398907104,0.07103825136612021,next_step_bad::logistic_regression::all_structured,0.01,20250622
0.4945009020576316,0.16939890710382513,0.15300546448087432,next_step_bad::logistic_regression::all_structured,0.02,20250622
0.7947688452216398,0.3989071038251366,0.3989071038251366,next_step_bad::logistic_regression::all_structured,0.05,20250622
0.944985112335306,0.6174863387978142,0.3989071038251366,next_step_bad::logistic_regression::all_structured,0.1,20250622
